High,Time
288.07,11:10
288.146,11:15
287.96,11:20
288.09,11:25
288.19,11:30
287.89,11:35
287.82,11:40
287.7381,11:45
287.71,11:50
287.44,11:55
287.6,12:00
287.7,12:05
287.65,12:10
287.5783,12:15
287.7181,12:20
287.76,12:25
287.79,12:30
287.81,12:35
287.78,12:40
287.88,12:45
287.98,12:50
287.945,12:55
288.02,13:00
287.95,13:05
287.93,13:10
288.44,13:15
288.51,13:20
288.1799,13:25
288.1699,13:30
288.16,13:35
288.237,13:40
288.53,13:45
288.5778,13:50
288.51,13:55
288.54,14:00
288.6869,14:05
288.7,14:10
288.77,14:15
288.81,14:20
288.8543,14:25
288.81,14:30
288.73,14:35
288.68,14:40
288.75,14:45
288.75,14:50
288.81,14:55
288.9,15:00
288.86,15:05
288.98,15:10
289.0185,15:15
289.18,15:20
289.47,15:25
289.3573,15:30
289.3,15:35
289.2,15:40
289.61,15:45
289.57,15:50
289.35,15:55
289.9,16:00
289.84,16:05
289.84,16:10
290,16:15
290.21,16:20
290.1,16:25
290.25,16:30
290.32,16:35
290.3,16:40
289.84,16:45
289.69,16:50
289.62,16:55
289.45,17:00
289.59,17:05
289.58,17:10
289.84,17:15
289.73,17:20
289.7,17:25
289.75,17:35
289.75,17:40
289.62,17:45
289.75,17:50
289.65,17:55
289.7194,18:00
289.57,18:05
289.45,18:10
289.55,18:15
289.51,18:20
289.55,18:25
289.5229,18:30
289.64,18:40
289.6535,18:45
289.65,18:55
289.62,19:00
289.72,19:05
289.8,19:10
289.66,19:20
289.7,19:35
289.77,19:45
289.78,19:50
289.8,19:55
289.75,20:00
