Open,Time
287.855,11:10
288.04,11:15
287.9,11:20
287.82,11:25
288.04,11:30
287.88,11:35
287.35,11:40
287.6506,11:45
287.5214,11:50
287.4155,11:55
287.2681,12:00
287.5,12:05
287.38,12:10
287.415,12:15
287.41,12:20
287.58,12:25
287.58,12:30
287.71,12:35
287.72,12:40
287.73,12:45
287.85,12:50
287.86,12:55
287.86,13:00
287.9,13:05
287.85,13:10
287.91,13:15
288.43,13:20
288.09,13:25
287.9499,13:30
288.1233,13:35
288.02,13:40
288.2153,13:45
288.37,13:50
288.45,13:55
288.3506,14:00
288.52,14:05
288.58,14:10
288.675,14:15
288.67,14:20
288.76,14:25
288.73,14:30
288.63,14:35
288.46,14:40
288.56,14:45
288.735,14:50
288.7,14:55
288.81,15:00
288.7701,15:05
288.83,15:10
288.97,15:15
288.6739,15:20
289.16,15:25
289.26,15:30
289.3,15:35
289.04,15:40
289.14,15:45
289.51,15:50
289.18,15:55
289.13,16:00
289.84,16:05
289.59,16:10
289.72,16:15
289.99,16:20
290.06,16:25
290.09,16:30
290.23,16:35
290.3,16:40
289.84,16:45
289.4,16:50
289.59,16:55
289.34,17:00
289.33,17:05
289.55,17:10
289.56,17:15
289.73,17:20
289.65,17:25
289.72,17:35
289.6,17:40
289.5836,17:45
289.6,17:50
289.65,17:55
289.65,18:00
289.57,18:05
289.45,18:10
289.55,18:15
289.51,18:20
289.55,18:25
289.5,18:30
289.58,18:40
289.6535,18:45
289.62,18:55
289.62,19:00
289.72,19:05
289.74,19:10
289.66,19:20
289.7,19:35
289.75,19:45
289.66,19:50
289.8,19:55
289.75,20:00
